Date,Open,Close,High,Low
2013-07-02,1.2979,1.3063,1.3078,1.2962
2013-07-01,1.3064,1.3005,1.3066,1.3
2013-06-28,1.301,1.3035,1.3103,1.299
2013-06-27,1.3037,1.301,1.3056,1.2999
2013-06-26,1.3012,1.308,1.3087,1.2983
2013-06-25,1.3085,1.3117,1.315,1.3063
2013-06-24,1.3118,1.3115,1.3144,1.3058
2013-06-21,1.3123,1.3218,1.3253,1.3098
2013-06-20,1.322,1.3294,1.3301,1.3161
2013-06-19,1.3295,1.3392,1.3414,1.326
2013-06-18,1.3394,1.3367,1.3415,1.3324
2013-06-17,1.3369,1.334,1.3381,1.3316
2013-06-14,1.3347,1.3374,1.3375,1.3293
2013-06-13,1.3375,1.3335,1.339,1.3277
2013-06-12,1.3337,1.3312,1.3359,1.3264
2013-06-11,1.3315,1.3256,1.3317,1.3231
2013-06-10,1.3257,1.3206,1.3269,1.3176
2013-06-07,1.3223,1.3245,1.3284,1.319
2013-06-06,1.3247,1.3093,1.3304,1.3074
2013-06-05,1.3094,1.308,1.3114,1.3052
2013-06-04,1.308,1.3075,1.3101,1.3041
2013-06-03,1.3076,1.2982,1.3107,1.2954
2013-05-31,1.2999,1.3049,1.3059,1.2943
2013-05-30,1.305,1.2938,1.3061,1.2932
2013-05-29,1.2941,1.2854,1.2977,1.2837
2013-05-28,1.2856,1.2927,1.2949,1.2847
2013-05-27,1.2932,1.2925,1.2948,1.2914
2013-05-24,1.2932,1.2935,1.2995,1.2903
2013-05-23,1.2936,1.2856,1.2955,1.282
2013-05-22,1.2858,1.2904,1.2998,1.2831
2013-05-21,1.2907,1.2881,1.2933,1.284
2013-05-20,1.2884,1.2809,1.2901,1.2802
2013-05-17,1.2839,1.288,1.2889,1.2795
